trip_id,LBB,FTM,CPT,HJN,BKA,BKM,ASN,SNY,IST,BNH,STB,DKA,BHI,Full Trip
NS-WD-LBB-BHI-069,13:40:00,13:43:10,13:46:10,13:48:20,13:50:40,13:53:20,13:55:10,13:57:40,13:59:40,14:02:10,14:04:10,14:06:20,14:09:20,0:29:20
NS-WD-LBB-BHI-070,13:50:00,13:53:10,13:56:10,13:58:20,14:00:40,14:03:20,14:05:10,14:07:40,14:09:40,14:12:10,14:14:10,14:16:20,14:19:20,0:29:20
NS-WD-LBB-BHI-071,14:00:00,14:03:10,14:06:10,14:08:20,14:10:40,14:13:20,14:15:10,14:17:40,14:19:40,14:22:10,14:24:10,14:26:20,14:29:20,0:29:20
NS-WD-LBB-BHI-072,14:10:00,14:13:10,14:16:10,14:18:20,14:20:40,14:23:20,14:25:10,14:27:40,14:29:40,14:32:10,14:34:10,14:36:20,14:39:20,0:29:20
NS-WD-LBB-BHI-073,14:20:00,14:23:10,14:26:10,14:28:20,14:30:40,14:33:20,14:35:10,14:37:40,14:39:40,14:42:10,14:44:10,14:46:20,14:49:20,0:29:20
NS-WD-LBB-BHI-074,14:30:00,14:33:10,14:36:10,14:38:20,14:40:40,14:43:20,14:45:10,14:47:40,14:49:40,14:52:10,14:54:10,14:56:20,14:59:20,0:29:20
NS-WD-LBB-BHI-075,14:40:00,14:43:10,14:46:10,14:48:20,14:50:40,14:53:20,14:55:10,14:57:40,14:59:40,15:02:10,15:04:10,15:06:20,15:09:20,0:29:20
NS-WD-LBB-BHI-076,14:50:00,14:53:10,14:56:10,14:58:20,15:00:40,15:03:20,15:05:10,15:07:40,15:09:40,15:12:10,15:14:10,15:16:20,15:19:20,0:29:20
NS-WD-LBB-BHI-077,15:00:00,15:03:10,15:06:10,15:08:20,15:10:40,15:13:20,15:15:10,15:17:40,15:19:40,15:22:10,15:24:10,15:26:20,15:29:20,0:29:20
NS-WD-LBB-BHI-078,15:09:00,15:12:10,15:15:10,15:17:20,15:19:40,15:22:20,15:24:10,15:26:40,15:28:40,15:31:10,15:33:10,15:35:20,15:38:20,0:29:20
NS-WD-LBB-BHI-079,15:17:30,15:20:40,15:23:40,15:25:50,15:28:10,15:30:50,15:32:40,15:35:10,15:37:10,15:39:40,15:41:40,15:43:50,15:46:50,0:29:20
NS-WD-LBB-BHI-080,15:26:00,15:29:10,15:32:10,15:34:20,15:36:40,15:39:20,15:41:10,15:43:40,15:45:40,15:48:10,15:50:10,15:52:20,15:55:20,0:29:20
NS-WD-LBB-BHI-081,15:34:00,15:37:10,15:40:10,15:42:20,15:44:40,15:47:20,15:49:10,15:51:40,15:53:40,15:56:10,15:58:10,16:00:20,16:03:20,0:29:20
NS-WD-LBB-BHI-082,15:41:30,15:44:40,15:47:40,15:49:50,15:52:10,15:54:50,15:56:40,15:59:10,16:01:10,16:03:40,16:05:40,16:07:50,16:10:50,0:29:20
NS-WD-LBB-BHI-083,15:48:30,15:51:40,15:54:40,15:56:50,15:59:10,16:01:50,16:03:40,16:06:10,16:08:10,16:10:40,16:12:40,16:14:50,16:17:50,0:29:20
NS-WD-LBB-BHI-084,15:55:00,15:58:10,16:01:10,16:03:20,16:05:40,16:08:20,16:10:10,16:12:40,16:14:40,16:17:10,16:19:10,16:21:20,16:24:20,0:29:20
NS-WD-LBB-BHI-085,16:00:30,16:03:40,16:06:40,16:08:50,16:11:10,16:13:50,16:15:40,16:18:10,16:20:10,16:22:40,16:24:40,16:26:50,16:29:50,0:29:20
NS-WD-LBB-BHI-086,16:06:00,16:09:10,16:12:10,16:14:20,16:16:40,16:19:20,16:21:10,16:23:40,16:25:40,16:28:10,16:30:10,16:32:20,16:35:20,0:29:20
NS-WD-LBB-BHI-087,16:11:30,16:14:40,16:17:40,16:19:50,16:22:10,16:24:50,16:26:40,16:29:10,16:31:10,16:33:40,16:35:40,16:37:50,16:40:50,0:29:20
NS-WD-LBB-BHI-088,16:16:30,16:19:40,16:22:40,16:24:50,16:27:10,16:29:50,16:31:50,16:34:30,16:36:30,16:39:00,16:41:00,16:43:10,16:46:10,0:29:40
NS-WD-LBB-BHI-089,16:21:30,16:24:40,16:27:40,16:29:50,16:32:10,16:34:50,16:36:50,16:39:30,16:41:30,16:44:00,16:46:00,16:48:10,16:51:10,0:29:40
NS-WD-LBB-BHI-090,16:26:30,16:29:40,16:32:40,16:34:50,16:37:10,16:39:50,16:41:50,16:44:30,16:46:30,16:49:00,16:51:00,16:53:10,16:56:10,0:29:40
NS-WD-LBB-BHI-091,16:31:30,16:34:40,16:37:40,16:39:50,16:42:10,16:44:50,16:46:50,16:49:30,16:51:30,16:54:00,16:56:00,16:58:10,17:01:10,0:29:40
NS-WD-LBB-BHI-092,16:36:30,16:39:40,16:42:40,16:44:50,16:47:10,16:49:50,16:51:50,16:54:30,16:56:30,16:59:00,17:01:00,17:03:10,17:06:10,0:29:40
NS-WD-LBB-BHI-093,16:41:30,16:44:40,16:47:40,16:49:50,16:52:10,16:54:50,16:56:50,16:59:30,17:01:30,17:04:00,17:06:00,17:08:10,17:11:10,0:29:40
