trip_id,LBB,FTM,CPT,HJN,BKA,BKM,ASN,SNY,IST,BNH,STB,DKA,BHI
NS-WE-LBB-BHI-063,15:30:00,15:32:20,15:35:40,15:37:50,15:40:10,15:42:30,15:44:40,15:47:10,15:49:00,15:51:30,15:54:10,15:56:20,15:59:20
NS-WE-LBB-BHI-064,15:40:00,15:42:20,15:45:40,15:47:50,15:50:10,15:52:30,15:54:40,15:57:10,15:59:00,16:01:30,16:04:10,16:06:20,16:09:20
NS-WE-LBB-BHI-065,15:50:00,15:52:20,15:55:40,15:57:50,16:00:10,16:02:30,16:04:40,16:07:10,16:09:00,16:11:30,16:14:10,16:16:20,16:19:20
NS-WE-LBB-BHI-066,16:00:00,16:02:20,16:05:40,16:07:50,16:10:10,16:12:30,16:14:40,16:17:10,16:19:00,16:21:30,16:24:10,16:26:20,16:29:20
NS-WE-LBB-BHI-067,16:10:00,16:12:20,16:15:40,16:17:50,16:20:10,16:22:30,16:24:40,16:27:10,16:29:00,16:31:30,16:34:10,16:36:20,16:39:20
NS-WE-LBB-BHI-068,16:20:00,16:22:20,16:25:40,16:27:50,16:30:10,16:32:30,16:34:40,16:37:10,16:39:00,16:41:30,16:44:10,16:46:20,16:49:20
NS-WE-LBB-BHI-069,16:30:00,16:32:20,16:35:40,16:37:50,16:40:10,16:42:30,16:44:40,16:47:10,16:49:00,16:51:30,16:54:10,16:56:20,16:59:20
NS-WE-LBB-BHI-070,16:40:00,16:42:20,16:45:40,16:47:50,16:50:10,16:52:30,16:54:40,16:57:10,16:59:00,17:01:30,17:04:10,17:06:20,17:09:20
NS-WE-LBB-BHI-071,16:50:00,16:52:20,16:55:40,16:57:50,17:00:10,17:02:30,17:04:40,17:07:10,17:09:00,17:11:30,17:14:10,17:16:20,17:19:20
NS-WE-LBB-BHI-072,17:00:00,17:02:20,17:05:40,17:07:50,17:10:10,17:12:30,17:14:40,17:17:10,17:19:00,17:21:30,17:24:10,17:26:20,17:29:20
NS-WE-LBB-BHI-073,17:10:00,17:12:20,17:15:40,17:17:50,17:20:10,17:22:30,17:24:40,17:27:10,17:29:00,17:31:30,17:34:10,17:36:20,17:39:20
NS-WE-LBB-BHI-074,17:20:00,17:22:20,17:25:40,17:27:50,17:30:10,17:32:30,17:34:40,17:37:10,17:39:00,17:41:30,17:44:10,17:46:20,17:49:20
NS-WE-LBB-BHI-075,17:30:00,17:32:20,17:35:40,17:37:50,17:40:10,17:42:30,17:44:40,17:47:10,17:49:00,17:51:30,17:54:10,17:56:20,17:59:20
NS-WE-LBB-BHI-076,17:40:00,17:42:20,17:45:40,17:47:50,17:50:10,17:52:30,17:54:40,17:57:10,17:59:00,18:01:30,18:04:10,18:06:20,18:09:20
NS-WE-LBB-BHI-077,17:50:00,17:52:20,17:55:40,17:57:50,18:00:10,18:02:30,18:04:40,18:07:10,18:09:00,18:11:30,18:14:10,18:16:20,18:19:20
NS-WE-LBB-BHI-078,18:00:00,18:02:20,18:05:40,18:07:50,18:10:10,18:12:30,18:14:40,18:17:10,18:19:00,18:21:30,18:24:10,18:26:20,18:29:20
NS-WE-LBB-BHI-079,18:10:00,18:12:20,18:15:40,18:17:50,18:20:10,18:22:30,18:24:40,18:27:10,18:29:00,18:31:30,18:34:10,18:36:20,18:39:20
NS-WE-LBB-BHI-080,18:20:00,18:22:20,18:25:40,18:27:50,18:30:10,18:32:30,18:34:40,18:37:10,18:39:00,18:41:30,18:44:10,18:46:20,18:49:20
NS-WE-LBB-BHI-081,18:30:00,18:32:20,18:35:40,18:37:50,18:40:10,18:42:30,18:44:40,18:47:10,18:49:00,18:51:30,18:54:10,18:56:20,18:59:20
